1,Thu Aug 19 21:54:38 2021,125094,CAR,2,4856,PC7C042B7,u A,1:5
2,Sat Jul 31 04:09:44 2021,174434,CAR,2,4154,PC2C2EF9E,t J,4:0
3,Sat Aug 14 17:19:04 2021,8538286,CAR,2,4070,PCEECA8B2,t A,7:1
4,Mon Aug  2 18:23:45 2021,5521221,CAR,2,4095,PC3E1512A,n A,8:2
5,Thu Jul 29 22:44:20 2021,3267767,CAR,2,4135,PCC943ECD,u J,2:4
6,Sat Aug 14 03:57:47 2021,8411850,CAR,2,4680,PCC422F4D,t A,3:5
7,Thu Aug 12 03:41:22 2021,6064250,CAR,2,4702,PCDBC3AC9,u A,3:4
8,Sun Aug 22 10:29:58 2021,6871937,VAN,2,4592,PC627AA14,n A,0:2
9,Fri Aug  6 14:23:08 2021,2055930,CAR,2,4100,PCC6DD8D5,i A,4:2
10,Sun Aug 15 13:43:51 2021,8775910,CAR,2,4143,PC5F47DCF,n A,3:4
11,Wed Aug  4 15:52:13 2021,4525747,CAR,2,4466,PC6E93A05,d A,5:5
12,Wed Aug 18 02:22:15 2021,5276143,VAN,2,4352,PC99B9343,d A,2:2
13,Thu Aug 19 16:01:02 2021,5405144,VAN,2,4574,PCC1F6F13,u A,6:0
14,Tue Aug  3 14:55:00 2021,9309466,CAR,2,4902,PC425C6EC,e A,4:5
15,Thu Aug  5 04:00:30 2021,6494070,VAN,2,4012,PCEF5C190,u A,4:0
16,Sun Aug  8 13:08:17 2021,4880588,CAR,2,4458,PCECEBBFA,n A,3:0
17,Wed Aug  4 04:56:15 2021,6964507,CAR,2,4886,PC4D892D7,d A,4:5
18,Sun Aug 15 11:22:44 2021,5740782,TRUCK,4,4680,PCC422F4D,n A,1:2
19,Fri Jul 30 11:20:47 2021,1060261,VAN,2,4899,PC4967767,i J,1:2
20,Sun Aug  8 21:22:56 2021,6599783,CAR,2,4855,PC03C5C15,n A,1:2
21,Wed Aug 11 10:33:15 2021,4573378,CAR,2,4737,PCED7EAFE,d A,0:3
22,Fri Aug  6 02:02:33 2021,1362666,CAR,2,4140,PC5D4821F,i A,2:0
23,Mon Aug  9 05:07:58 2021,9227112,CAR,2,4961,PC92C5115,n A,5:0
24,Fri Aug 13 18:21:04 2021,1245885,CAR,2,4148,PCDFBBEBB,i A,8:2
25,Thu Aug 12 01:36:28 2021,6702238,CAR,2,4630,PCA26D872,u A,1:3
26,Wed Aug 11 04:05:21 2021,7598066,CAR,2,5003,PCAC9371E,d A,4:0
27,Sun Aug  8 19:09:41 2021,2959560,CAR,2,4243,PCC4F7DCE,n A,9:0
28,Sun Aug  1 02:04:42 2021,9223690,CAR,2,4023,PC77793DF,n A,2:0
29,Sun Aug 15 11:11:42 2021,495967,CAR,2,4987,PCF4A9637,n A,1:1
30,Sat Aug 14 03:39:26 2021,1920115,CAR,2,4755,PC628DCED,t A,3:3
31,Wed Aug 18 23:33:41 2021,9940618,TRUCK,4,4079,PCF1366ED,d A,3:3
32,Fri Aug  6 10:18:54 2021,733942,CAR,2,4616,PCE6675F9,i A,0:1
33,Thu Aug 19 15:58:25 2021,3232373,TRUCK,4,4245,PC6594AD4,u A,5:5
34,Thu Aug 19 07:23:18 2021,2164250,TRUCK,4,4090,PC1EE951B,u A,7:2
35,Sun Aug  1 09:10:05 2021,3714822,TRUCK,4,4383,PC4BFE950,n A,9:1
36,Sat Aug  7 13:11:54 2021,9870882,VAN,2,4449,PCAACD453,t A,3:1
37,Tue Aug 10 01:27:00 2021,834998,CAR,2,4351,PC4E572D8,e A,1:2
38,Tue Aug 10 14:31:35 2021,6715866,CAR,2,4159,PC5631507,e A,4:3
39,Sun Aug  8 09:43:26 2021,9723146,CAR,2,4018,PCCB2657A,n A,9:4
40,Mon Aug  2 16:18:51 2021,2871310,CAR,2,4827,PC7D68CD9,n A,6:1
41,Sat Aug 14 13:13:47 2021,7657312,VAN,2,4115,PCF5D4B0A,t A,3:1
42,Tue Aug  3 03:53:05 2021,9802000,CAR,2,4102,PC8C9B099,e A,3:5
43,Mon Aug 16 00:36:00 2021,6514220,CAR,2,4398,PCE60D320,n A,0:3
44,Fri Aug 20 02:10:55 2021,3803763,CAR,2,4918,PC8F8E598,i A,2:1
45,Sat Aug 14 06:32:07 2021,2223161,CAR,2,4984,PCBABF130,t A,6:3
46,Fri Jul 30 02:19:56 2021,1228573,TRUCK,4,4460,PCDF04952,i J,2:1
47,Wed Aug  4 14:30:03 2021,4872795,CAR,2,4326,PC356AE8F,d A,4:3
48,Sat Aug 14 04:04:45 2021,2074513,VAN,2,4600,PCB99E8F9,t A,4:0
49,Thu Aug 12 04:58:14 2021,7368256,CAR,2,4735,PC2294422,u A,4:5
50,Wed Aug 11 10:50:27 2021,2168309,CAR,2,4162,PC51A39A7,d A,0:5
51,Sun Aug  8 08:37:17 2021,5131457,CAR,2,4012,PCEF5C190,n A,8:3
52,Mon Aug  9 23:48:43 2021,2398430,CAR,2,4223,PCA37D114,n A,3:4
53,Wed Aug 18 17:50:45 2021,6065595,VAN,2,4990,PCFE28E92,d A,7:5
54,Mon Aug  2 16:59:38 2021,9885768,CAR,2,4154,PC2C2EF9E,n A,6:5
55,Thu Aug 19 04:54:56 2021,4327783,CAR,2,4913,PC685427C,u A,4:5
56,Tue Aug 17 18:11:45 2021,3904834,TRUCK,4,4388,PC803F0F2,e A,8:1
57,Mon Aug  2 19:48:50 2021,1358382,CAR,2,4299,PCAD3B9BC,n A,9:4
58,Tue Aug 17 16:46:31 2021,3579992,CAR,2,4725,PCB905D54,e A,6:4
59,Wed Aug 11 22:21:30 2021,8130760,CAR,2,4229,PCD0DDD3D,d A,2:2
60,Fri Jul 30 09:54:24 2021,6546218,CAR,2,4354,PC0671DD4,i J,9:5
61,Sat Aug  7 16:42:24 2021,3673515,CAR,2,4127,PCA2D76A5,t A,6:4
62,Wed Aug  4 20:43:54 2021,9888875,TRUCK,4,4522,PC0A326BE,d A,0:4
63,Sat Aug  7 20:44:08 2021,8136080,TRUCK,4,4410,PC6EFC03B,t A,0:4
64,Thu Aug 12 19:23:36 2021,2078447,VAN,2,4689,PC89C35AD,u A,9:2
65,Sat Aug  7 16:41:49 2021,8090807,CAR,2,4296,PCA24C1E1,t A,6:4
66,Sun Aug  1 07:32:04 2021,4309692,CAR,2,4303,PC2E2E0C0,n A,7:3
67,Wed Aug 11 14:24:25 2021,3752767,CAR,2,4346,PCA35B156,d A,4:2
68,Wed Aug  4 23:10:29 2021,9407219,CAR,2,4253,PC82A16E6,d A,3:1
69,Wed Aug  4 14:29:11 2021,2167845,VAN,2,5007,PC869BDE8,d A,4:2
70,Tue Aug 17 01:20:54 2021,7903517,CAR,2,4534,PCAD9E1F9,e A,1:2
71,Sat Aug 21 02:09:35 2021,7385817,CAR,2,4742,PC05B8749,t A,2:0
72,Thu Aug 19 17:52:30 2021,5673776,CAR,2,4944,PC41EEC34,u A,7:5
73,Tue Aug 17 21:58:23 2021,823973,CAR,2,4171,PC36C9AE8,e A,1:5
74,Tue Aug 10 13:03:36 2021,9361361,CAR,2,4750,PCD987A9D,e A,3:0
75,Sat Aug 21 19:25:57 2021,8744445,CAR,2,4878,PC08F56A1,t A,9:2
76,Sun Aug  8 14:01:06 2021,2910050,CAR,2,4274,PC88EA64E,n A,4:0
77,Thu Aug  5 11:21:12 2021,1686323,CAR,2,4377,PC4AC8EAD,u A,1:2
78,Sun Aug  1 07:10:55 2021,9113006,CAR,2,4265,PC5B2AFFA,n A,7:1
79,Fri Jul 30 15:53:32 2021,660597,CAR,2,4304,PC89FB76E,i J,5:5
80,Sun Aug 22 16:38:30 2021,8500934,CAR,2,4797,PCE2D63A7,n A,6:3
81,Thu Aug 19 13:11:29 2021,395519,TRUCK,4,4061,PC3A63A79,u A,3:1
82,Mon Aug  9 14:17:00 2021,2616607,TRUCK,4,4085,PC6150735,n A,4:1
83,Sat Aug 14 10:36:28 2021,7218572,CAR,2,4675,PCE49911B,t A,0:3
84,Thu Aug 12 11:53:03 2021,994857,TRUCK,4,4997,PC8111910,u A,1:5
85,Mon Aug  2 20:12:17 2021,3168436,CAR,2,4241,PC7241796,n A,0:1
86,Fri Aug 13 20:06:41 2021,1572712,CAR,2,4890,PCAFC8A56,i A,0:0
87,Thu Jul 29 17:35:21 2021,545955,CAR,2,4537,PC10C700F,u J,7:3
88,Sun Aug 22 05:39:41 2021,2013386,CAR,2,4743,PCE6EEF2E,n A,5:3
89,Wed Aug 11 02:43:03 2021,6566889,CAR,2,4026,PC2CE9851,d A,2:4
90,Wed Aug 11 02:39:24 2021,852585,CAR,2,4373,PC8806694,d A,2:3
91,Thu Jul 29 14:30:02 2021,6196238,TRUCK,4,4116,PCCA836C9,u J,4:3
92,Mon Aug  2 11:07:12 2021,6031416,TRUCK,4,4785,PC787D664,n A,1:0
93,Wed Aug  4 15:15:09 2021,6905906,VAN,2,5002,PC585BD38,d A,5:1
94,Wed Aug 11 17:34:54 2021,3764238,CAR,2,4728,PC07BF95F,d A,7:3
95,Thu Aug  5 06:31:23 2021,1673826,TRUCK,4,4015,PC524833E,u A,6:3
96,Sat Aug 21 18:13:29 2021,316662,CAR,2,4817,PCFF02057,t A,8:1
97,Thu Aug 19 22:17:26 2021,2992127,TRUCK,4,4857,PC59F4E22,u A,2:1
98,Thu Aug 19 12:02:31 2021,7517992,CAR,2,4724,PC3DE08BF,u A,2:0
99,Thu Aug 12 06:54:12 2021,6232948,TRUCK,4,4725,PCB905D54,u A,6:5
100,Fri Jul 30 08:09:03 2021,4369477,CAR,2,4591,PCC9875AC,i J,8:0
101,Fri Aug  6 18:18:53 2021,4388245,TRUCK,4,4792,PC3E35002,i A,8:1
102,Sat Aug  7 20:49:07 2021,8392508,CAR,2,4927,PC2D22627,t A,0:4
103,Fri Jul 30 16:08:08 2021,6858708,CAR,2,4397,PCB070250,i J,6:0
104,Fri Aug  6 06:59:16 2021,6215048,TRUCK,4,4195,PC308070B,i A,6:5
105,Fri Aug 13 11:20:04 2021,7046549,TRUCK,4,4336,PCD30AB50,i A,1:2
106,Wed Aug  4 18:37:46 2021,7899881,TRUCK,4,4520,PC8140983,d A,8:3
107,Fri Aug 20 01:13:53 2021,9824238,CAR,2,4328,PC3777B8E,i A,1:1
108,Sun Aug  8 10:25:38 2021,8180012,CAR,2,4749,PC65C93B7,n A,0:2
109,Tue Aug 10 12:42:19 2021,426578,CAR,2,4990,PCFE28E92,e A,2:4
110,Thu Jul 29 11:33:20 2021,3284775,CAR,2,4231,PC016D687,u J,1:3
111,Sat Jul 31 18:42:46 2021,5487227,CAR,2,4643,PC6713209,t J,8:4
112,Thu Aug 12 23:09:32 2021,1772941,CAR,2,4121,PCEC57A8E,u A,3:0
113,Fri Aug 13 04:52:01 2021,2471284,VAN,2,4400,PC3BD7D63,i A,4:5
114,Sun Aug 22 03:05:40 2021,6040036,CAR,2,4119,PC9EBEDB5,n A,3:0
115,Fri Aug 13 12:39:10 2021,9249042,TRUCK,4,4695,PC4A5D62F,i A,2:3
116,Mon Aug  9 22:59:28 2021,5791925,CAR,2,4495,PC210A754,n A,2:5
117,Fri Aug  6 01:01:14 2021,3696614,TRUCK,4,4434,PCA491459,i A,1:0
118,Mon Aug  2 05:42:51 2021,7892550,CAR,2,4299,PCAD3B9BC,n A,5:4
119,Sun Aug  1 19:31:14 2021,5673214,VAN,2,4023,PC77793DF,n A,9:3
120,Fri Aug  6 05:58:42 2021,6657095,TRUCK,4,4365,PC0F226DF,i A,5:5
121,Mon Aug  9 16:03:31 2021,2067579,VAN,2,4582,PC98750ED,n A,6:0
122,Fri Aug 13 11:42:48 2021,1005686,CAR,2,4119,PC9EBEDB5,i A,1:4
123,Sun Aug  8 02:44:35 2021,7521772,VAN,2,4416,PC546F252,n A,2:4
124,Sun Aug 15 08:43:48 2021,6545042,CAR,2,4898,PC0AE9E1B,n A,8:4
125,Mon Aug  9 05:03:17 2021,3473929,TRUCK,4,4698,PC8BCEB19,n A,5:0
126,Sun Aug 22 02:13:18 2021,29457,CAR,2,4416,PC546F252,n A,2:1
127,Sat Aug 21 23:03:24 2021,7360318,CAR,2,4993,PC0F0AB4E,t A,3:0
128,Tue Aug 17 10:32:29 2021,3427163,TRUCK,4,4356,PCF1979AE,e A,0:3
129,Fri Jul 30 08:44:05 2021,3007179,VAN,2,4504,PC461DCD3,i J,8:4
130,Fri Aug 20 06:01:27 2021,2151509,CAR,2,4811,PCBF83C7A,i A,6:0
131,Sat Jul 31 05:17:21 2021,1067960,CAR,2,4574,PCC1F6F13,t J,5:1
132,Tue Aug  3 07:01:26 2021,1100257,CAR,2,4116,PCCA836C9,e A,7:0
133,Sun Aug 22 10:01:40 2021,4346999,CAR,2,4049,PC4779D38,n A,0:0
134,Sat Aug 14 17:24:04 2021,4371005,CAR,2,4435,PC3E78C17,t A,7:2
135,Sat Aug 14 11:50:01 2021,1583109,CAR,2,4272,PC09BDC08,t A,1:5
136,Wed Aug 18 07:26:20 2021,8808595,CAR,2,4929,PC9E503B6,d A,7:2
137,Thu Aug  5 01:15:16 2021,1841800,VAN,2,4531,PC857F4A0,u A,1:1
138,Sat Jul 31 00:28:44 2021,1825050,CAR,2,4222,PC15EC378,t J,0:2
139,Fri Aug 13 09:54:01 2021,8490556,CAR,2,4657,PCC591410,i A,9:5
140,Thu Jul 29 23:02:42 2021,2549393,TRUCK,4,4481,PC30AAE76,u J,3:0
141,Wed Aug 11 13:15:55 2021,9636921,TRUCK,4,4145,PC5FBE4B8,d A,3:1
142,Thu Aug 19 21:13:57 2021,8899022,TRUCK,4,4813,PCACF7982,u A,1:1
143,Thu Aug 19 08:46:24 2021,8112100,VAN,2,4585,PCF3AE602,u A,8:4
144,Thu Jul 29 16:02:19 2021,335366,CAR,2,4924,PCE3427C5,u J,6:0
145,Sat Jul 31 19:32:50 2021,1716955,TRUCK,4,4584,PC1085B78,t J,9:3
146,Sat Aug 21 13:56:33 2021,4153555,VAN,2,4225,PCC1ED0C5,t A,3:5
147,Sat Jul 31 12:55:05 2021,5626263,CAR,2,4719,PCBD66B01,t J,2:5
148,Fri Aug  6 23:05:57 2021,49472,CAR,2,4830,PC12EEFE0,i A,3:0
149,Thu Aug  5 15:24:15 2021,2497636,CAR,2,4073,PCA3797CA,u A,5:2
150,Tue Aug  3 19:13:15 2021,7825358,TRUCK,4,4954,PCA276EBB,e A,9:1
151,Sat Jul 31 11:27:59 2021,6084818,VAN,2,4732,PCD83DE25,t J,1:2
152,Thu Aug 19 18:53:39 2021,5455899,CAR,2,4155,PC9042B3F,u A,8:5
153,Tue Aug 17 22:11:51 2021,1849505,VAN,2,4142,PC7ACFF7C,e A,2:1
